iter	MultiClass
0	2.694238996
1	2.566405941
2	2.449697998
3	2.370538261
4	2.268679945
5	2.160137838
6	2.090211479
7	2.02415079
8	1.967849612
9	1.915744846
10	1.846300076
11	1.800889942
12	1.762121902
13	1.7117345
14	1.632911374
15	1.571366598
16	1.543211387
17	1.514776966
18	1.486536242
19	1.422823971
20	1.396377579
21	1.362366894
22	1.336727318
23	1.30598503
24	1.282969168
25	1.242455252
26	1.224413166
27	1.205060879
28	1.187651027
29	1.162192771
30	1.135580754
31	1.108282452
32	1.091965402
33	1.073665716
34	1.046098188
35	1.0235201
36	1.008082595
37	0.9904371654
38	0.9759760785
39	0.9601177667
40	0.9444419962
41	0.9166305822
42	0.9047554541
43	0.8897100053
44	0.8748712185
45	0.864312621
46	0.8479563013
47	0.824869718
48	0.8161712306
49	0.7946019726
50	0.7779628285
51	0.7652040661
52	0.7591029919
53	0.7510768663
54	0.7422587227
55	0.725125135
56	0.7191613484
57	0.7089838364
58	0.6985675993
59	0.6903759884
60	0.6812270727
61	0.6717727639
62	0.6648655679
63	0.6559210209
64	0.6483125107
65	0.6387527341
66	0.6302976199
67	0.6213423013
68	0.6112675845
69	0.6017313008
70	0.5956689365
71	0.5856398337
72	0.5759836454
73	0.5696639051
74	0.5559952616
75	0.5504189265
76	0.5436456795
77	0.5383440793
78	0.5334553179
79	0.5265130726
80	0.5154260671
81	0.5092720076
82	0.5033771512
83	0.4935198028
84	0.4859437853
85	0.4802663955
86	0.4702970709
87	0.4632706723
88	0.4524674736
89	0.4412726841
90	0.4338249728
91	0.4288949209
92	0.4241206888
93	0.4150511892
94	0.4081048449
95	0.4039724189
96	0.3984123889
97	0.392642547
98	0.3854772252
99	0.380310899
100	0.3712816926
101	0.3608629111
102	0.3525918629
103	0.3476425905
104	0.3411619513
105	0.3331480891
106	0.3272052889
107	0.3202245408
108	0.3126625636
109	0.3046445406
110	0.300221249
111	0.2943925237
112	0.2878689297
113	0.281918197
114	0.2769967412
115	0.2746227904
116	0.269081548
117	0.2624346564
118	0.2615083328
119	0.256960546
120	0.252264321
121	0.2503593876
122	0.2470464351
123	0.2427338567
124	0.2374760702
125	0.2354617238
126	0.2334513521
127	0.2290788903
128	0.224968016
129	0.2226225142
130	0.2192189738
131	0.214445171
132	0.2111235571
133	0.207487382
134	0.20397094
135	0.2012164674
136	0.1975800641
137	0.1957518205
138	0.1916841683
139	0.1884745669
140	0.1853663225
141	0.1838363742
142	0.1809995184
143	0.1798982457
144	0.1778909229
145	0.1759844547
146	0.1722840105
147	0.1700354007
148	0.1665199425
149	0.16324068
150	0.1621141351
151	0.1613125832
152	0.1592604559
153	0.1578179186
154	0.1556450314
155	0.1531304193
156	0.152105048
157	0.1500938885
158	0.1471350258
159	0.1466129792
160	0.1446219236
161	0.1436289389
162	0.1410574643
163	0.1405277601
164	0.1395047357
165	0.1385758083
166	0.1361745458
167	0.135382946
168	0.133887767
169	0.1335184573
170	0.1320085705
171	0.1311737604
172	0.1298841439
173	0.1283214172
174	0.127452092
175	0.127192837
176	0.1259397614
177	0.1244879744
178	0.1229327664
179	0.1218166448
180	0.1214842256
181	0.1208048384
182	0.1197180757
183	0.1190612831
184	0.1180651482
185	0.1175877266
186	0.1173510898
187	0.11627238
188	0.1157511051
189	0.1152002149
190	0.1150265685
191	0.114812454
192	0.1131314327
193	0.1127966419
194	0.1121821239
195	0.1111377799
196	0.1103103532
197	0.1099977116
198	0.1093135284
199	0.1077007459
200	0.1068737959
201	0.1065120843
202	0.1055102969
203	0.1043266078
204	0.1031933571
205	0.1028505123
206	0.102164575
207	0.1016581013
208	0.1013042425
209	0.1011532138
210	0.1004234955
211	0.100155853
212	0.09898070462
213	0.09866054178
214	0.09819441839
215	0.09760800685
216	0.09724443351
217	0.09600370069
218	0.09525962753
219	0.09441550076
220	0.09354357729
221	0.09218388429
222	0.09191865989
223	0.09146803829
224	0.09018767205
225	0.08941552794
226	0.08898214512
227	0.0888342205
228	0.0886154547
229	0.08820429621
230	0.08800652625
231	0.08737088891
232	0.08687241963
233	0.08640022938
234	0.085797081
235	0.08565211664
236	0.08507066272
237	0.08430619958
238	0.0841222801
239	0.08398714258
240	0.08371567696
241	0.08341326783
242	0.08318846395
243	0.08284893013
244	0.08244499548
245	0.08101893947
246	0.08079824953
247	0.08062529796
248	0.08016343924
249	0.07971310511
250	0.07880838359
251	0.07863643033
252	0.0775231855
253	0.07713325462
254	0.07658680481
255	0.07568759387
256	0.07517379007
257	0.07474974088
258	0.07452535137
259	0.07428752669
260	0.07379366659
261	0.07353740378
262	0.07338217009
263	0.07332269326
264	0.07302908413
265	0.07218388748
266	0.07204158119
267	0.07184418206
268	0.07166825632
269	0.0710316977
270	0.07079300393
271	0.07018824255
272	0.0699658426
273	0.06923554884
274	0.06905042268
275	0.06844543887
276	0.06801060806
277	0.06786086306
278	0.06706847632
279	0.06675650514
280	0.06664142617
281	0.06647768952
282	0.06585454761
283	0.06544575985
284	0.06511870314
285	0.06501513985
286	0.06483480407
287	0.06442176888
288	0.06428869503
289	0.06366438797
290	0.06335799483
291	0.06268451885
292	0.06252541813
293	0.0624315092
294	0.06213658905
295	0.06193565778
296	0.06136217091
297	0.0611799121
298	0.0605950933
299	0.06048201266
300	0.060144848
301	0.06008334176
302	0.05979051922
303	0.05970272427
304	0.05959215827
305	0.0594384467
306	0.05904231628
307	0.05857115544
308	0.05797461468
309	0.05779078431
310	0.05768529557
311	0.05759469298
312	0.05721470284
313	0.05693443437
314	0.05660173128
315	0.05610537021
316	0.05604831101
317	0.05582828975
318	0.05570497616
319	0.05560454474
320	0.05531206325
321	0.05520218127
322	0.05500864276
323	0.0549525799
324	0.0545963072
325	0.05450815767
326	0.05436662288
327	0.05411381968
328	0.05363899899
329	0.05336960539
330	0.05291589339
331	0.05277809465
332	0.05265630081
333	0.05252704837
334	0.05201210365
335	0.0518189968
336	0.05170406816
337	0.05154466334
338	0.05147776975
339	0.05121816917
340	0.05097616002
341	0.05068763446
342	0.05024492364
343	0.05004187656
344	0.04961093373
345	0.04945926221
346	0.04925233367
347	0.04904481803
348	0.04897491827
349	0.04864045898
350	0.0483212115
351	0.04814864075
352	0.04787211583
353	0.04781086912
354	0.047618604
355	0.04754149156
356	0.04750835148
357	0.04732219036
358	0.04724784516
359	0.04698032591
360	0.04693923647
361	0.04688436107
362	0.04660793494
363	0.0465429798
364	0.04648340723
365	0.04642715588
366	0.04631858478
367	0.04625768902
368	0.04619978652
369	0.04608596856
370	0.04602125516
371	0.04594184932
372	0.04586407277
373	0.04581393789
374	0.04577606334
375	0.0454311096
376	0.04539971346
377	0.04537199755
378	0.04534535706
379	0.0449668759
380	0.04489054945
381	0.04480447654
382	0.04462524389
383	0.04456233982
384	0.0443854393
385	0.04405162711
386	0.04391835804
387	0.0436493588
388	0.04356634281
389	0.04330716645
390	0.04326601845
391	0.04309455333
392	0.04304096937
393	0.04293817937
394	0.04271880106
395	0.04261903793
396	0.04254511218
397	0.04247776678
398	0.04219427547
399	0.04194983692
400	0.04154551173
401	0.04131565082
402	0.04125453445
403	0.04116535556
404	0.04107964438
405	0.04097348392
406	0.04095167573
407	0.04080873182
408	0.04073990913
409	0.04054778624
410	0.04047905305
411	0.04032849218
412	0.04012252319
413	0.03973924535
414	0.03972269548
415	0.0396523471
416	0.03957614516
417	0.03951052633
418	0.03915648276
419	0.03901274031
420	0.03878011394
421	0.03848691496
422	0.03842506383
423	0.0383413187
424	0.03830101473
425	0.03825454318
426	0.03800200426
427	0.03787533143
428	0.03762173595
429	0.03752763076
430	0.03737045986
431	0.03713500337
432	0.03705663084
433	0.03701843559
434	0.03697712377
435	0.03684975935
436	0.03667916414
437	0.03654735997
438	0.03647464917
439	0.03621992562
440	0.0361269244
441	0.0359214918
442	0.03574288829
443	0.0356704966
444	0.03559213669
445	0.03539020914
446	0.03535796749
447	0.03512650526
448	0.03482955266
449	0.03473805862
450	0.03465270284
451	0.03446812833
452	0.0343476047
453	0.03418439889
454	0.03415064821
455	0.03408043733
456	0.03379926267
457	0.0335280267
458	0.03339301712
459	0.0333485685
460	0.03317842009
461	0.03309241235
462	0.03298822229
463	0.03294658954
464	0.03290456923
465	0.03285639252
466	0.03279376983
467	0.03267951885
468	0.03255421967
469	0.03253481268
470	0.03227849182
471	0.03222047593
472	0.0321855986
473	0.03187771452
474	0.03170530696
475	0.03164455611
476	0.03158322218
477	0.03135277757
478	0.03127019954
479	0.03120202058
480	0.03111532962
481	0.03101843369
482	0.03088688301
483	0.03086895105
484	0.03082956399
485	0.03070635487
486	0.03065108861
487	0.03061177639
488	0.0305189995
489	0.03046029471
490	0.03040122335
491	0.03032486278
492	0.03016274714
493	0.0300369752
494	0.02999796568
495	0.02997602022
496	0.02989386199
497	0.02985741291
498	0.02976663182
499	0.02973566071
500	0.02960687115
501	0.02955276328
502	0.0295208223
503	0.02945936752
504	0.02935699144
505	0.02921010949
506	0.02905774631
507	0.02896888826
508	0.02883826766
509	0.02864107539
510	0.02852040725
511	0.02850740595
512	0.0284089854
513	0.02838313037
514	0.02818338527
515	0.02813511664
516	0.02808512223
517	0.02800582315
518	0.02798547649
519	0.02787593227
520	0.02785445655
521	0.0276893243
522	0.02760750908
523	0.02755427161
524	0.02748990126
525	0.02742999657
526	0.0272688177
527	0.02720800858
528	0.02713772724
529	0.0271213168
530	0.0270840833
531	0.02690008267
532	0.02686804372
533	0.02677902072
534	0.02673075947
535	0.02665164871
536	0.02662677898
537	0.02645160232
538	0.02636605119
539	0.02627403519
540	0.02613149336
541	0.02605871478
542	0.02598754437
543	0.02583423962
544	0.02570808012
545	0.02561427332
546	0.02559792751
547	0.02557397887
548	0.0255564429
549	0.02539354388
550	0.02526618515
551	0.02514595785
552	0.02506972177
553	0.02501166877
554	0.02498533356
555	0.02494854972
556	0.02480553722
557	0.02465775828
558	0.02464147514
559	0.02461926626
560	0.02457881593
561	0.02453362629
562	0.02449964594
563	0.02446960247
564	0.02444675546
565	0.02440811992
566	0.0243705204
567	0.02431747095
568	0.02428965803
569	0.02427120913
570	0.02424328385
571	0.02417318323
572	0.02409562887
573	0.02405578146
574	0.02399868369
575	0.02395403345
576	0.02391553181
577	0.02387698571
578	0.02384529688
579	0.02372644689
580	0.02371461471
581	0.0236263531
582	0.02352299759
583	0.02349892164
584	0.02344028934
585	0.02341069121
586	0.02330390807
587	0.0232219512
588	0.02311751667
589	0.02302020266
590	0.0229075891
591	0.02286880424
592	0.02273506769
593	0.02260262297
594	0.02257336252
595	0.02250617883
596	0.02247189635
597	0.02239661637
598	0.02237900132
599	0.02224597245
600	0.02213153347
601	0.02206250181
602	0.02203385974
603	0.02201880741
604	0.02194958156
605	0.0219275327
606	0.02190142392
607	0.02187596763
608	0.02178133796
609	0.02169189104
610	0.02164105151
611	0.02153592627
612	0.02149918837
613	0.0213832975
614	0.02131887396
615	0.02128437013
616	0.02125462759
617	0.02122481025
618	0.02120969734
619	0.02118493637
620	0.02116127161
621	0.02110467357
622	0.02104213497
623	0.02098416247
624	0.020967527
625	0.02095450484
626	0.02093702417
627	0.02093056531
628	0.02088503134
629	0.02085719228
630	0.02079443445
631	0.0207596291
632	0.02067553943
633	0.02065216663
634	0.0206325281
635	0.02059545764
636	0.02052091139
637	0.02051547499
638	0.02049800259
639	0.02045419325
640	0.02043027668
641	0.02041158613
642	0.02032449509
643	0.02026949885
644	0.02026114552
645	0.02023456594
646	0.02020847099
647	0.02020343244
648	0.02012277462
649	0.02010339599
650	0.02008091985
651	0.01997130238
652	0.01995498729
653	0.01991885895
654	0.0199118359
655	0.01988492375
656	0.01984191244
657	0.01983138301
658	0.01976831956
659	0.01971604263
660	0.01963960637
661	0.01961918477
662	0.01954536745
663	0.0194456159
664	0.01940207106
665	0.0193734266
666	0.01931431623
667	0.01926380551
668	0.01922642776
669	0.01919125685
670	0.01916279605
671	0.01914318811
672	0.01909872993
673	0.01906533035
674	0.01902812607
675	0.01901260234
676	0.01897329541
677	0.01894978385
678	0.01894073237
679	0.01890929375
680	0.01889718801
681	0.0188852853
682	0.01879245978
683	0.01876184486
684	0.01872569452
685	0.01868958634
686	0.01864605854
687	0.01860600624
688	0.01854733
689	0.01848528814
690	0.01838677595
691	0.01837121571
692	0.0183665715
693	0.01834729853
694	0.01833342683
695	0.0183149066
696	0.01829727337
697	0.01824760711
698	0.01820041457
699	0.01819790063
700	0.01817538535
701	0.01813973744
702	0.01808711748
703	0.01803631111
704	0.01797480786
705	0.01795743269
706	0.01791418816
707	0.01789102371
708	0.01786966039
709	0.01786464105
710	0.01781564625
711	0.01779642083
712	0.01773049534
713	0.01771481617
714	0.01765288095
715	0.01759589583
716	0.01756439148
717	0.01755200866
718	0.01748803871
719	0.01740570023
720	0.01739436586
721	0.01735239443
722	0.01729768251
723	0.01726252784
724	0.01725816066
725	0.01718240762
726	0.01716723817
727	0.01712340758
728	0.0170849729
729	0.01705102707
730	0.01703502998
731	0.01699646618
732	0.01698410609
733	0.016966303
734	0.01690485586
735	0.0168329672
736	0.01680786254
737	0.01678034689
738	0.01677336027
739	0.01675091164
740	0.01672295504
741	0.01664277352
742	0.01658113765
743	0.01656827343
744	0.01655981591
745	0.01654429719
746	0.01650476001
747	0.01647851357
748	0.0164474784
749	0.01643037763
750	0.01641877374
751	0.0164068861
752	0.01637240178
753	0.01632630582
754	0.01631911526
755	0.01627497723
756	0.01624135026
757	0.01618824163
758	0.01618412256
759	0.01617384789
760	0.01616659608
761	0.01612862943
762	0.01611472965
763	0.0160918977
764	0.01608573547
765	0.01608063951
766	0.0160475787
767	0.01600772087
768	0.01600330951
769	0.01597105338
770	0.0159476885
771	0.01590720666
772	0.01589858423
773	0.01588046624
774	0.01584048036
775	0.01582636262
776	0.01582085236
777	0.01576326795
778	0.01573970807
779	0.01572701875
780	0.01571263448
781	0.01570225038
782	0.01565348868
783	0.01562999744
784	0.01561941413
785	0.01560036483
786	0.01558520861
787	0.01555741874
788	0.01553734095
789	0.01550200505
790	0.01547353751
791	0.01543942489
792	0.01542140166
793	0.01540887712
794	0.01534070689
795	0.01529417044
796	0.01528522033
797	0.01526255757
798	0.01523941161
799	0.01522913543
800	0.01522513438
801	0.01519446305
802	0.01516572289
803	0.01516103747
804	0.01509634702
805	0.01508353167
806	0.015072519
807	0.01506465811
808	0.01504893543
809	0.01504365083
810	0.01503813194
811	0.01502856721
812	0.01501094323
813	0.01499869499
814	0.0149938549
815	0.01497797174
816	0.01495486402
817	0.01494311444
818	0.01492818729
819	0.01491958004
820	0.01490772083
821	0.01489131318
822	0.01488524031
823	0.0148591404
824	0.01483733846
825	0.0148228005
826	0.01480381791
827	0.01474227526
828	0.01472741399
829	0.01472008772
830	0.01470497791
831	0.01470309366
832	0.01468953979
833	0.01468302872
834	0.01467097426
835	0.01463636041
836	0.01461173939
837	0.01455737089
838	0.01454686008
839	0.01452911558
840	0.01449880737
841	0.01448943613
842	0.01443915342
843	0.01442769841
844	0.01441550547
845	0.01440793846
846	0.01438045542
847	0.01432055144
848	0.0143155621
849	0.01429871981
850	0.01425594709
851	0.01424281738
852	0.01423905824
853	0.01423163267
854	0.01417413962
855	0.01413390868
856	0.01410740222
857	0.01410073428
858	0.01407454021
859	0.01405447184
860	0.01404026496
861	0.01399910659
862	0.01397860162
863	0.01395801717
864	0.01394514887
865	0.01394077228
866	0.01390797217
867	0.01387857062
868	0.01384805445
869	0.01384078382
870	0.01383456031
871	0.0138136363
872	0.01380480674
873	0.01379663811
874	0.01378071715
875	0.01377329045
876	0.01375858342
877	0.01371820513
878	0.01370686154
879	0.01366599562
880	0.01366040807
881	0.01365035039
882	0.01362754777
883	0.01360935417
884	0.0136003274
885	0.01354414485
886	0.01350178833
887	0.01347786119
888	0.0134696531
889	0.01345840788
890	0.01343146355
891	0.01341810701
892	0.0133818655
893	0.01333159751
894	0.01330606018
895	0.01325218788
896	0.01322712753
897	0.01320924529
898	0.01320161101
899	0.01319029506
900	0.01317355001
901	0.01313808734
902	0.01313230622
903	0.01311685458
904	0.01309741157
905	0.01305047092
906	0.01304314168
907	0.01302423525
908	0.01301187382
909	0.0130065032
910	0.0130022009
911	0.01299266779
912	0.01298150542
913	0.01294229856
914	0.0129378428
915	0.01291220865
916	0.0128603486
917	0.0128107938
918	0.01279051678
919	0.01275024632
920	0.01274761443
921	0.01273560756
922	0.01272270554
923	0.01269929533
924	0.01269098168
925	0.01268519426
926	0.01267839716
927	0.01265865332
928	0.01264854669
929	0.01262423775
930	0.01260650641
931	0.01259640922
932	0.0125865214
933	0.01257228535
934	0.0125346448
935	0.01252588315
936	0.01251357162
937	0.0124869801
938	0.01248168929
939	0.01243720453
940	0.01242520887
941	0.0123919282
942	0.01237438003
943	0.0123726859
944	0.01236658928
945	0.01233826801
946	0.01231751478
947	0.0122964339
948	0.01227173411
949	0.01226665858
950	0.01225331925
951	0.01224810112
952	0.01223962518
953	0.01221817639
954	0.01221060568
955	0.01220551571
956	0.01218201106
957	0.01217073964
958	0.01214382194
959	0.01212793704
960	0.0121048253
961	0.01209654882
962	0.01206509741
963	0.01203870977
964	0.01200311904
965	0.01200106556
966	0.01199380175
967	0.01197246703
968	0.01195189954
969	0.01194378334
970	0.01193834921
971	0.01193421557
972	0.01191317652
973	0.0118987652
974	0.01188213185
975	0.01187243996
976	0.0118667661
977	0.01184120736
978	0.01181884887
979	0.01180295188
980	0.01177754262
981	0.01175303026
982	0.01174451032
983	0.01172343743
984	0.01171635637
985	0.01171088971
986	0.01168104836
987	0.01167082683
988	0.01164183224
989	0.01162506417
990	0.01162168281
991	0.01160152269
992	0.0115972646
993	0.0115870819
994	0.0115787317
995	0.01156190047
996	0.01155640116
997	0.01154029033
998	0.01152023847
999	0.01148364201
