iter	Passed	Remaining
0	13	13552
1	26	13301
2	38	12922
3	50	12560
4	63	12615
5	77	12899
6	91	13041
7	104	12990
8	116	12825
9	128	12727
10	140	12665
11	153	12643
12	165	12597
13	176	12451
14	188	12365
15	199	12294
16	211	12222
17	223	12203
18	235	12177
19	246	12100
20	258	12050
21	270	12019
22	281	11971
23	294	11972
24	306	11939
25	320	12001
26	331	11962
27	343	11916
28	355	11908
29	367	11896
30	379	11849
31	393	11889
32	406	11908
33	418	11885
34	429	11847
35	441	11820
36	453	11812
37	466	11818
38	479	11804
39	491	11788
40	505	11815
41	518	11834
42	530	11806
43	543	11801
44	556	11806
45	569	11805
46	580	11777
47	592	11757
48	606	11761
49	620	11787
50	634	11801
51	647	11801
52	659	11785
53	672	11778
54	685	11775
55	698	11771
56	710	11754
57	722	11726
58	735	11726
59	748	11720
60	760	11710
61	775	11729
62	790	11756
63	804	11764
64	817	11758
65	829	11743
66	841	11711
67	854	11714
68	867	11708
69	879	11688
70	891	11660
71	902	11628
72	913	11601
73	926	11590
74	937	11567
75	949	11544
76	960	11517
77	971	11481
78	982	11454
79	993	11428
80	1006	11423
81	1018	11405
82	1030	11381
83	1041	11354
84	1052	11326
85	1064	11313
86	1075	11288
87	1089	11292
88	1104	11303
89	1119	11316
90	1132	11316
91	1146	11311
92	1162	11341
93	1177	11353
94	1190	11345
95	1205	11353
96	1218	11347
97	1233	11355
98	1248	11358
99	1260	11344
100	1272	11325
101	1285	11313
102	1297	11301
103	1310	11287
104	1323	11283
105	1339	11293
106	1351	11275
107	1364	11267
108	1377	11262
109	1389	11246
110	1401	11227
111	1413	11208
112	1424	11184
113	1437	11174
114	1451	11171
115	1466	11177
116	1480	11176
117	1493	11166
118	1505	11146
119	1517	11124
120	1528	11107
121	1541	11090
122	1555	11088
123	1567	11071
124	1579	11056
125	1590	11035
126	1602	11017
127	1615	11007
128	1629	10999
129	1641	10987
130	1653	10968
131	1664	10943
132	1676	10928
133	1688	10910
134	1698	10884
135	1710	10867
136	1721	10846
137	1733	10826
138	1745	10811
139	1757	10797
140	1769	10777
141	1780	10755
142	1792	10740
143	1805	10731
144	1817	10716
145	1829	10701
146	1841	10686
147	1852	10666
148	1864	10650
149	1877	10639
150	1891	10632
151	1903	10619
152	1917	10612
153	1929	10597
154	1942	10587
155	1954	10575
156	1968	10570
157	1980	10554
158	1992	10538
159	2004	10523
160	2016	10506
161	2028	10495
162	2041	10485
163	2053	10468
164	2065	10451
165	2076	10433
166	2088	10417
167	2100	10401
168	2113	10394
169	2127	10386
170	2139	10371
171	2151	10358
172	2162	10337
173	2174	10323
174	2188	10315
175	2201	10308
176	2215	10301
177	2227	10287
178	2241	10278
179	2254	10270
180	2267	10262
181	2281	10252
182	2292	10236
183	2305	10224
184	2319	10218
185	2339	10238
186	2366	10288
187	2387	10310
188	2409	10338
189	2428	10353
190	2446	10360
191	2461	10359
192	2479	10366
193	2494	10362
194	2510	10363
195	2539	10418
196	2554	10411
197	2570	10411
198	2587	10415
199	2604	10417
